content  playCount  name
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
                              没有了。多好看啊。第二季什么时候出来的   46315950  足球江湖
                        为什么不更新了，\n更新更新，第二季什么时候上线啊   46315950  足球江湖
                                   好看就是更新太慢了一集太短了   46315950  足球江湖
                                    应该还有第二季第三季这些。   46315950  足球江湖
                          恕我直言，我觉得东皇队的全体颜值有点比精英队差   46315950  足球江湖
                                         这是谁的女朋友？   46315950  足球江湖
                要是我们班有冷鑫一半的男子气概，就好了，（我们班的男生都是娘娘腔）   46315950  足球江湖
                       方牙虎好帅啊啊啊啊啊啊啊啊！！！！同意的点赞！！！！   46315950  足球江湖
                          一集这么短时间，还要有这么长时间广告，真是醉了   46315950  足球江湖
                                 金钟罩？没用还用出来干嘛？搞笑？   46315950  足球江湖
                                  让导演把一集变45分钟的按红心   46315950  足球江湖
                                       还有第二季的足球江湖   46315950  足球江湖
                 人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。   46315950  足球江湖
                                              叶罗丽   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                    希望没有广告的，赞我一个。   46315950  足球江湖
                                        支持每天3集的点赞   46315950  足球江湖
                           这人真TM恶心！！！！！！！看见就想吐！！！   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                 拍的什么？是踢球吗？纯粹是耍杂技   46315950  足球江湖
                                    一九一中真卑鄙！同意赞我！   46315950  足球江湖
说什么傻话，没有足国精神，只会拿卑鄙的手段，赢了有何意义？还兵不厌诈，你以为你是韩非子，曹操...   46315950  足球江湖
                         翟华龙是主角都不是很帅，没有冷鑫帅，没有孤风帅。   46315950  足球江湖
                 越看越像她妈的智障，主角一点鸟用也没有，踢个球都这么多嘴炮。。。   46315950  足球江湖
                                      这是没有裁判的足球吗？   46315950  足球江湖
                                     饕餮，叫爹吧！！！！！！   46315950  足球江湖
                                            有玩过吗？   46315950  足球江湖
这才是中国龙[呲牙]虽然一周一集，但很好看。总要体谅一下导演吧？我只是希望加长点时间段[惊讶...   46315950  足球江湖
                          什么辣鸡啊，没有几分钟可以看的，开头废话一大堆   46315950  足球江湖
                                     太好看了吧时在是太好看了   46315950  足球江湖
                             什么时候更新啊？[流泪][流泪][流泪]   46315950  足球江湖
                                 🇨🇳🇨🇳🇨🇳🇨🇳   46315950  足球江湖
                        饕餮（taoti）打出来了，快叫爸爸(=^▽^=)   46315950  足球江湖
                                    我只想说，我想谈个朋友结婚   46315950  足球江湖
            才第三集要不要这么假啊，灌篮高手，超智能足球，网球王子。功夫足球都不放过。   46315950  足球江湖
                                     什么不更新了，好期待啊。   46315950  足球江湖
                                  人物没那么精美，精美点就更好了   46315950  足球江湖
                             第二季[色]，第二季[色]，第二季[色]   46315950  足球江湖
                                    好看快点播第二季……第二季   46315950  足球江湖
                                还什么足球动漫昵！改成洗脑动漫吧！   46315950  足球江湖
                                 每集内容太少了，抗议，同意的点赞   46315950  足球江湖
                     时间不能再增了吗？刚要激烈就没了，同意作者是故意的请举手   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                             分享图片   46315950  足球江湖
                                  假如鹿晗不火你们还会支持他吗？   46315950  足球江湖
                                    如果集5个赞就每天更新2集   46315950  足球江湖
                                        这班有开的必要吗？   46315950  足球江湖
                                         这部动漫画面太美   46315950  足球江湖
                                       一天一集多好，点个赞   46315950  足球江湖
                                    我很喜欢这里的人物，很真实   46315950  足球江湖
